text,label
Is there Wi-Fi on the plane?,Flights Info
Do you have a direct flight to Seattle?,Flights Info
How do I submit a formal complaint?,Complaints
Are the flight attendants trained for medical emergencies?,Medical Policy
How do I report a lost bag?,Missing Bag
I can't find my bag on the carousel.,Missing Bag
What is your cancellation policy?,Cancellation Policy
Can I check a box instead of a suitcase?,Check In Luggage Faq
Is flight UA456 on time?,Flight Status
I'd like to select my seat now.,Seat Availability
What are the fees for an overweight bag?,Check In Luggage Faq
"My flight is supposed to land soon, is it on schedule?",Flight Status
Can I get a travel credit if I cancel?,Cancellation Policy
How much is a flight to San Francisco?,Fare Check
Can you track my missing luggage?,Missing Bag
What's the policy on checked luggage?,Check In Luggage Faq
What is the cost for oversized baggage like a snowboard?,Sports Music Gear
What's the fare for two adults?,Fare Check
I need to bring a portable oxygen concentrator on board.,Medical Policy
I want to check the price for a one-way ticket.,Fare Check
How much does flight insurance cost?,Insurance
I need to report a problem with a staff member.,Complaints
Can I bring my pocket knife?,Prohibited Items Faq
Can I bring my bowling ball on the plane?,Sports Music Gear
Can I bring my dog in the cabin with me?,Pet Travel
Do you have any group booking discounts?,Discounts
Can I get a discount for booking a round trip?,Discounts
Where is flight BA288 right now?,Flight Status
How much does it cost to fly with a cat?,Pet Travel
What is the cheapest fare available for this route?,Fare Check
I need to book a flight for myself and my dog.,Pet Travel
How do I travel with a bicycle?,Sports Music Gear
Is my luggage insured?,Insurance
"If I cancel, do I lose all my money?",Cancellation Policy
"This is unacceptable, I demand a resolution.",Complaints
What time are the flights to Las Vegas tomorrow?,Flights Info
"My experience was terrible, I need to speak to a manager.",Complaints
Are there any fees for cancelling a flight?,Cancellation Policy
What are the requirements for a pet carrier?,Pet Travel
Does insurance cover trip cancellation?,Insurance
"The airline broke my bag, what do I do?",Damaged Bag
Your baggage handlers destroyed my suitcase.,Damaged Bag
Is there a special policy for sports equipment?,Sports Music Gear
Cancel flight to JFK.,Cancel Trip
How should I pack my skis for a flight?,Sports Music Gear
How many bags can I check?,Check In Luggage Faq
Do I have to pay for my first checked bag?,Check In Luggage Faq
How can I cancel my upcoming trip to Denver?,Cancel Trip
"Please cancel my booking, reference number a4b5c6.",Cancel Trip
What is your policy for passengers with disabilities?,Medical Policy
I need to make a claim on my travel insurance.,Insurance
Is it okay to bring food through security?,Prohibited Items Faq
"What happens if I miss my flight, am I covered by insurance?",Insurance
What are the fees for changing a flight?,Change Flight
I am very unhappy with the service I received.,Complaints
Can I check the seat map for my flight?,Seat Availability
Can I carry my power bank with me?,Prohibited Items Faq
Can I travel with my medication?,Medical Policy
"The airline lost my bags, I need help.",Missing Bag
Show me the available seats.,Seat Availability
What's the weight limit for checked baggage?,Check In Luggage Faq
Tell me about the 24-hour cancellation rule.,Cancellation Policy
Can I bring my guitar as a carry-on?,Carry On Luggage Faq
Is there a discount for military personnel?,Discounts
I want to file a complaint about my recent flight.,Complaints
I want a seat with extra legroom.,Seat Availability
My suitcase was damaged during the flight.,Damaged Bag
Can you tell me if my flight is delayed?,Flight Status
Show me the cancellation terms and conditions.,Cancellation Policy
Check status for flight AA123.,Flight Status
Can I upgrade my seat?,Seat Availability
Are lithium batteries allowed in checked luggage?,Prohibited Items Faq
Can I bring a lighter on the plane?,Prohibited Items Faq
"I booked the wrong date, can you help me fix it?",Change Flight
Check flight prices for December.,Fare Check
Can you help me cancel my reservation?,Cancel Trip
Can my pet travel as checked baggage?,Pet Travel
"My plans have changed, I must cancel my flight.",Cancel Trip
Do I need a health certificate for my pet?,Pet Travel
Can I change my flight online?,Change Flight
What's the cost of a business class seat?,Fare Check
The flight attendant was very rude.,Complaints
The plane was dirty and uncomfortable.,Complaints
Will I get a refund if I cancel my ticket?,Cancellation Policy
Are emotional support animals allowed?,Pet Travel
How late can I cancel my flight without a penalty?,Cancellation Policy
What are the rules for transporting firearms?,Prohibited Items Faq
I want a full refund for my flight.,Cancel Trip
Can my carry-on fit in the overhead bin?,Carry On Luggage Faq
Is it possible to switch to an earlier flight?,Change Flight
How much will it cost to cancel my flight?,Cancellation Policy
Can I bring my own wheelchair on the plane?,Medical Policy
How big can my checked luggage be?,Check In Luggage Faq
List of prohibited items please.,Prohibited Items Faq
I need to file a claim for a broken bag.,Damaged Bag
How long is the flight from Boston to Dublin?,Flights Info
I need assistance boarding the aircraft.,Medical Policy
What is the status of my flight from New York to London?,Flight Status
Do you serve meals on this flight?,Flights Info
What is the flight duration?,Flights Info
How can I find the cheapest flights?,Discounts
How much does it cost to choose a seat?,Seat Availability
I need to file a report for a missing suitcase.,Missing Bag
How do I report a damaged piece of luggage?,Damaged Bag
